Gender,breakfast,calories_day,calories_scone,coffee,comfort_food,comfort_food_reasons,comfort_food_reasons_coded,cook,cuisine,diet_current,diet_current_coded,drink,eating_changes,eating_changes_coded,eating_changes_coded1,eating_out,employment,exercise,father_profession,fav_cuisine,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,healthy_feeling,healthy_meal,ideal_diet,ideal_diet_coded,income,indian_food,italian_food,marital_status,mother_profession,parents_cook,pay_meal_out,soup,sports,type_sports,veggies_day,vitamins,weight
Male,Cereal,it is moderately important ,315,espresso shown,"Burgers, indian and korean food","sadness, happiness and hunger",,"Whenever I can, but that is not very often  ",Indian,Not very healthy,unhealthy/cheap/too much/random/,Soda,not eating meals on time,worse,timing,2-3 times ,no,Twice or three times per week ,Politician,Korean,asian/chineses/thai/nepal,both bought at store and cooked at home,Mcdonald’s fries,likely ,Sophomore ,7,"Meat, greens and food containing protein",Healthy and tasty,adding veggies/eating healthier food/adding fruit,"$30,001 to $50,000 ",very likely ,likely ,In a relationship ,"Works in WWF, world wild life fund",Almost everyday ,$30.01 to $40.00 ,veggie soup,Yes,"Tennis, Basketball",neutral ,no,138
Male,Cereal,it is very important,980,espresso shown,"chocolate bar, ice cream, pretzels, potato chips and protein bars.","Stress, boredom and physical activity",,I only help a little during holidays ,American,I currently eat an abundance of carbohydrates. I have a low intake of protein. I overly intake calcium.,unhealthy/cheap/too much/random/,Soda,Eating more dairy due to more ice cream intake.,worse,worse quality ,1-2 times ,yes part time ,Everyday,Pharmaceutical,I do not like cuisine,none,both bought at store and cooked at home,Mcdonald’s fries,very likely ,freshman ,10,Intaking the proper amount of each food group,"My ideal diet would be an equal balance of all the food groups. I would like to eat more protein. Also, i would prefer to cut back on the junk food.",balance,"higher than $100,000",very unlikely ,likely ,In a relationship ,Health teacher,Almost everyday ,$30.01 to $40.00 ,veggie soup,Yes,Hockey,unlikely ,no,150
Female,Cereal,nan,420,espresso shown,"Ice cream, chocolate, pizza, cucumber ","loneliness, homework, boredom ",,"Whenever I can, but that is not very often  ",nan,"It is very unbalance. Mostly fat food, Lack of vegetables.",unhealthy/cheap/too much/random/,Orange Juice,less vegetable more sweats,worse,worse quality ,3-5 times ,no,Twice or three times per week ,Business Man,Chinese ,asian/chineses/thai/nepal,store bought ,Mcdonald’s fries,very likely ,freshman ,5,BBQ Chicken with mash sweat potatoes and steam vegetable with corn and a glass of water.,Very healthy. Freshly done. properly cooked,home cooked/organic,"less than $15,000 ",neutral,very likely ,Single,Business Woman,2-3 times a week ,$10.01 to $20.00 ,veggie soup,No,none,very likely,yes,170
Female,Cereal,nan,315,espresso shown,"Noodle ( any kinds of noodle), Tuna sandwich, and Egg.",When i'm  eating with my close friends/ Food smell or look good/ when I feel tired,,"Whenever I can, but that is not very often  ",Indian,I eat in dining hall of school everyday. I usually have both meat and a little vegetable in every meal. ,healthy/balanced/moderated/,Orange Juice,"I eat more vegetable. Since coming to college, I started to eat salads and tried to eat salads at least three times a week.",better,healthier,1-2 times ,yes part time ,nan,His own business,Vietnamese cuisine,asian/chineses/thai/nepal,both bought at store and cooked at home,Mcdonald’s fries,neutral ,Sophomore ,9,Including both vegetable and meat,My ideal diet should include both vegetable and meat. It is not only healthy but also delicious. ,adding veggies/eating healthier food/adding fruit,"$15,001 to $30,000 ",unlikely,likely ,Single,Her own business,Almost everyday ,$5.01 to $10.00 ,veggie soup,No,"No, I don't play sport.",neutral ,yes,113
Female,Cereal,it is moderately important ,420,creamy frapuccino,"Chinese, chips, cake",Stress and boredom ,,"Whenever I can, but that is not very often  ",American,Try to eat as healthy as possible. A few days where fast food comes into play because of classes. ,unhealthy/cheap/too much/random/,Orange Juice,I try to eat more fruits and vegetables ,better,healthier,1-2 times ,yes part time ,Twice or three times per week ,HVAC technician ,American ,American,cooked at home ,Mcdonald’s fries,very likely ,Sophomore ,5,Chicken vegetables and fruit for dinner ,All home cooked. Healthy. Vegetables and fruit. ,home cooked/organic,"$30,001 to $50,000 ",neutral,very likely ,In a relationship ,Grieveance coordinator of the SCI albion prison ,1-2 times a week ,$20.01 to $30.00 ,veggie soup,No,None,very likely,no,140
Male,Cereal,it is moderately important ,420,espresso shown,"chips, rice, chicken curry,","Happiness, boredom, social event",,A couple of times a week ,American inspired international dishes,"My diet is mostly whatever I get to eat in the grotto commons. Sometimes, I eat outside",unhealthy/cheap/too much/random/,Orange Juice,Started eating a lot of protein rich food that i didnt before.,better,healthier,1-2 times ,yes part time ,Twice or three times per week ,United Nations,Indian,indian,both bought at store and cooked at home,Mcdonald’s fries,very likely ,Senior,7,A diet that is well balanced in most of the nutrients needed for the body.,Healthy balanced diet that tastes well.,balance,"$15,001 to $30,000 ",very likely ,very likely ,In a relationship ,Banker,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,Soccer,very likely,no,185
Female,Cereal,it is very important,420,espresso shown,"wine. mac and cheese, pizza, ice cream ",boredom and sadness ,,"Whenever I can, but that is not very often  ",American,"My diet consists mainly of coffee, water, fruits, vegetables, and chicken. I tend to stay away from bread and pasta as much as possible. ",unhealthy/cheap/too much/random/,Soda,"I have noticed there is less time for a prepared meal, so quick and easy has become the norm.",worse,worse quality ,1-2 times ,yes full time ,Twice or three times per week ,Accountant ,Italian ,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,Senior,5,mainly protein and vegetables with a complex carb ,"My ideal diet would consist of a majority of what I consume now. I like to think I make pretty healthy choices currently, so it would most likely remain the same.",current diet,"$50,001 to $70,000 ",neutral,very likely ,Single,Radiological Technician ,Almost everyday ,$20.01 to $30.00 ,veggie soup,Yes,Softball,very likely,yes,156
Female,Cereal,it is not at all important,315,espresso shown,Pizza / Wings / Cheesecake,Loneliness / Homesick / Sadness,,"Whenever I can, but that is not very often  ",nan,A college student with an imbalanced diet trying to be healthy.,unhealthy/cheap/too much/random/,Orange Juice,Eating Pizza as an excuse when there is nothing else to it.,worse,worse quality ,3-5 times ,no,Twice or three times per week ,Doctor,Mexican Food,Spanish/mexican,cooked at home ,Mcdonald’s fries,likely ,Senior,5,"A healthy meal is a variety of food , organic food that gives you the nutrients such as protein , carbohydrates , fat , water , vitamins and minerals.",Eating home cooked meals everyday and being able to not eat processed foods at all.,home cooked/organic,"$15,001 to $30,000 ",very likely ,very likely ,Single,Public Health Advisor ,1-2 times a week ,$20.01 to $30.00 ,veggie soup,nan,basketball ,very likely,no,180
Female,Cereal,nan,420,creamy frapuccino,"rice, potato, seaweed soup",sadness,,"Whenever I can, but that is not very often  ",nan,"Rice, oatmeal, and tea",unhealthy/cheap/too much/random/,Orange Juice,less rice,worse,worse quality ,2-3 times ,no,Twice or three times per week ,CEO of company,Korean,asian/chineses/thai/nepal,cooked at home ,Mcdonald’s fries,likely ,Junior,6,lots of vegetables,lots of veggies,adding veggies/eating healthier food/adding fruit,"$15,001 to $30,000 ",very likely ,neutral,Single,Real Estate manageer,2-3 times a week ,$20.01 to $30.00 ,veggie soup,No,none,likely,no,120
Male,Cereal,it is very important,420,creamy frapuccino,"Mac n Cheese, Lasagna, Pizza","happiness, they are some of my favorite foods",,"Whenever I can, but that is not very often  ",American,"I try to eat as healthy as possible everyday.  I have fruit, yogurt and a protein shake everyday.  The other foods i eat vary on a day to day basis.",healthy/balanced/moderated/,Soda,I don't eat as much on a daily basis since coming to college.,worse,less food,every day,yes part time ,Everyday,Store manager at Giant Eagle,Italian,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,very likely ,freshman ,1,"A protein, a fruit, a starch, and a salad or some sort of vegetable.",My ideal diet is the diet i am currently on.  The only thing i would change is a little bit less snack/junk food.,current diet,"$50,001 to $70,000 ",very unlikely ,very likely ,Single,Receptionist for a medical supply company,2-3 times a week ,$10.01 to $20.00 ,creamy soup,No,nan,neutral ,yes,135
Female,Cereal,nan,315,espresso shown,"Chocolates, pizza, and Ritz.","hormones, Premenstrual syndrome.",,nan,Korean/Asian,high in protein and low in carbohydrates.,healthy/balanced/moderated/,Orange Juice,I have learned to eat more vegetables. ,better,healthier,Never,yes part time ,Twice or three times per week ,Journalist,HISPANIC CUISINE.,Spanish/mexican,cooked at home ,Mcdonald’s fries,neutral ,Junior,3,"a cup of rice, vegetables, and meat. ","Being able to balance between sweets, vegetables, fruits, carbohydrates, and fat.",balance,"$70,001 to $100,000 ",unlikely,neutral,In a relationship ,House-wife,1-2 times a week ,$10.01 to $20.00 ,veggie soup,No,nan,likely,no,135
